Date,Cell Count,Min Cell Age (days),MAX Cell Age (days),Cell Restart Age (days)
01-JAN-18,272,71,431,
02-JAN-18,272,72,432,
03-JAN-18,272,73,433,
04-JAN-18,272,74,434,
05-JAN-18,272,75,435,
06-JAN-18,272,76,436,
07-JAN-18,272,77,437,
08-JAN-18,272,78,438,
09-JAN-18,272,79,439,
10-JAN-18,272,80,440,
11-JAN-18,272,81,441,
12-JAN-18,272,82,442,
13-JAN-18,272,83,443,
14-JAN-18,272,84,444,
15-JAN-18,272,85,445,
16-JAN-18,272,86,446,
17-JAN-18,272,87,447,
18-JAN-18,272,88,448,
19-JAN-18,272,89,449,
20-JAN-18,272,90,450,
21-JAN-18,272,91,451,
22-JAN-18,272,92,452,
23-JAN-18,272,93,453,
24-JAN-18,272,94,454,
25-JAN-18,272,95,455,
26-JAN-18,272,96,456,
27-JAN-18,272,97,457,
28-JAN-18,272,98,458,
29-JAN-18,272,99,459,
30-JAN-18,272,100,460,
31-JAN-18,272,101,461,
01-FEB-18,272,102,462,
02-FEB-18,272,103,463,
03-FEB-18,272,104,464,
04-FEB-18,272,105,465,
05-FEB-18,272,106,466,
06-FEB-18,272,107,467,
07-FEB-18,272,108,468,
08-FEB-18,272,109,469,
09-FEB-18,272,110,470,
10-FEB-18,272,111,471,
11-FEB-18,272,112,472,
12-FEB-18,272,113,473,
13-FEB-18,272,114,474,
14-FEB-18,272,115,475,
15-FEB-18,272,116,476,
16-FEB-18,272,117,477,
17-FEB-18,272,118,478,
18-FEB-18,272,119,479,
19-FEB-18,272,120,480,
20-FEB-18,272,121,481,
21-FEB-18,272,122,482,
22-FEB-18,272,123,483,
23-FEB-18,272,124,484,
24-FEB-18,272,125,485,
25-FEB-18,272,126,486,
26-FEB-18,272,127,487,
27-FEB-18,272,128,488,
28-FEB-18,272,129,489,
01-MAR-18,272,130,490,
02-MAR-18,272,131,491,
03-MAR-18,272,132,492,
04-MAR-18,272,133,493,
05-MAR-18,272,134,494,
06-MAR-18,272,135,495,
07-MAR-18,272,136,496,
08-MAR-18,272,137,497,
09-MAR-18,272,138,498,
10-MAR-18,272,139,499,
11-MAR-18,272,140,500,
12-MAR-18,272,141,501,
13-MAR-18,272,142,502,
14-MAR-18,272,143,503,
15-MAR-18,272,144,504,
16-MAR-18,272,145,505,
17-MAR-18,272,146,506,
18-MAR-18,272,147,507,
19-MAR-18,272,148,508,
20-MAR-18,272,149,509,
21-MAR-18,272,150,510,
22-MAR-18,272,151,511,
23-MAR-18,272,152,512,
24-MAR-18,272,153,513,
25-MAR-18,272,154,514,
26-MAR-18,272,155,515,
27-MAR-18,272,156,516,
28-MAR-18,272,157,517,
29-MAR-18,272,158,518,
30-MAR-18,272,159,519,
31-MAR-18,272,160,520,
01-APR-18,272,161,521,
02-APR-18,272,162,522,
03-APR-18,272,163,523,
04-APR-18,272,164,524,
05-APR-18,272,165,525,
06-APR-18,272,166,526,
07-APR-18,272,167,527,
08-APR-18,272,168,528,
09-APR-18,272,169,529,
10-APR-18,272,170,530,
11-APR-18,272,171,531,
12-APR-18,272,172,532,
13-APR-18,272,173,533,
14-APR-18,272,174,534,
15-APR-18,272,175,535,
16-APR-18,272,176,536,
17-APR-18,272,177,537,
18-APR-18,272,178,538,
19-APR-18,272,179,539,
20-APR-18,272,180,540,
21-APR-18,272,181,541,
22-APR-18,272,182,542,
23-APR-18,272,183,543,
24-APR-18,272,184,544,
25-APR-18,272,185,545,
26-APR-18,272,186,546,
27-APR-18,272,187,547,
28-APR-18,272,188,548,
29-APR-18,272,189,549,
30-APR-18,272,190,550,
01-MAY-18,272,191,551,
02-MAY-18,272,192,552,
03-MAY-18,272,193,553,
04-MAY-18,272,194,554,
05-MAY-18,272,195,555,
06-MAY-18,272,196,556,
07-MAY-18,272,197,557,
08-MAY-18,272,198,558,
09-MAY-18,272,199,559,
10-MAY-18,272,200,560,
11-MAY-18,272,201,561,
12-MAY-18,272,202,562,
13-MAY-18,272,203,563,
14-MAY-18,272,204,564,
15-MAY-18,272,205,565,
16-MAY-18,272,206,566,
17-MAY-18,272,207,567,
18-MAY-18,272,208,568,
19-MAY-18,272,209,569,
20-MAY-18,272,210,570,
21-MAY-18,272,211,571,
22-MAY-18,272,212,572,
23-MAY-18,272,213,573,
24-MAY-18,272,214,574,
25-MAY-18,272,215,575,
26-MAY-18,272,216,576,
27-MAY-18,272,217,577,
28-MAY-18,272,218,578,
29-MAY-18,272,219,579,
30-MAY-18,272,220,580,
31-MAY-18,272,221,581,
01-JUN-18,272,222,582,
02-JUN-18,272,223,583,
03-JUN-18,272,224,584,
04-JUN-18,272,225,585,
05-JUN-18,272,226,586,
06-JUN-18,272,227,587,
07-JUN-18,272,228,588,
08-JUN-18,272,229,589,
09-JUN-18,272,230,590,
10-JUN-18,272,231,591,
11-JUN-18,272,232,592,
12-JUN-18,272,233,593,
13-JUN-18,272,234,594,
14-JUN-18,272,235,595,
15-JUN-18,272,236,596,
16-JUN-18,272,237,597,
17-JUN-18,272,238,598,
18-JUN-18,272,239,599,
19-JUN-18,272,240,600,
20-JUN-18,272,241,601,
21-JUN-18,272,242,602,
22-JUN-18,272,243,603,
23-JUN-18,272,244,604,
24-JUN-18,272,245,605,
25-JUN-18,272,246,606,
26-JUN-18,272,247,607,
27-JUN-18,272,248,608,
28-JUN-18,272,249,609,
29-JUN-18,272,250,610,
30-JUN-18,272,251,611,
01-JUL-18,272,252,612,
02-JUL-18,272,253,613,
03-JUL-18,272,254,614,
04-JUL-18,272,255,615,
05-JUL-18,272,256,616,
06-JUL-18,272,257,617,
07-JUL-18,272,258,618,
08-JUL-18,272,259,619,
09-JUL-18,272,260,620,
10-JUL-18,272,261,621,
11-JUL-18,272,262,622,
12-JUL-18,272,263,623,
13-JUL-18,272,264,624,
14-JUL-18,272,265,625,
15-JUL-18,272,266,626,
16-JUL-18,272,267,627,
17-JUL-18,272,268,628,
18-JUL-18,272,269,629,
19-JUL-18,272,270,630,
20-JUL-18,272,271,631,
21-JUL-18,272,272,632,
22-JUL-18,272,273,633,
23-JUL-18,272,274,634,
24-JUL-18,272,275,635,
25-JUL-18,272,276,636,
26-JUL-18,272,277,637,
27-JUL-18,272,278,638,
28-JUL-18,272,279,639,
29-JUL-18,272,280,640,
30-JUL-18,272,281,641,
31-JUL-18,272,282,642,
01-AUG-18,272,283,643,
02-AUG-18,272,284,644,
03-AUG-18,272,285,645,
04-AUG-18,272,286,646,
05-AUG-18,272,287,647,
06-AUG-18,272,288,648,
07-AUG-18,272,289,649,
08-AUG-18,272,290,650,
09-AUG-18,272,291,651,
10-AUG-18,272,292,652,
11-AUG-18,272,293,653,
12-AUG-18,272,294,654,
13-AUG-18,272,295,655,
14-AUG-18,272,296,656,
15-AUG-18,272,297,657,
16-AUG-18,272,298,658,
17-AUG-18,272,299,659,
18-AUG-18,272,300,660,
19-AUG-18,272,301,661,
20-AUG-18,272,302,662,
21-AUG-18,272,303,663,
22-AUG-18,272,304,664,
23-AUG-18,272,305,665,
24-AUG-18,272,306,666,
25-AUG-18,272,307,667,
26-AUG-18,272,308,668,
27-AUG-18,272,309,669,
28-AUG-18,272,310,670,
29-AUG-18,272,311,671,
30-AUG-18,272,312,672,
31-AUG-18,272,313,673,
01-SEP-18,272,314,674,
02-SEP-18,272,315,675,
03-SEP-18,272,316,676,
04-SEP-18,272,317,677,
05-SEP-18,272,318,678,
06-SEP-18,272,319,679,
07-SEP-18,272,320,680,
08-SEP-18,272,321,681,
09-SEP-18,272,322,682,
10-SEP-18,272,323,683,
11-SEP-18,272,324,684,
12-SEP-18,272,325,685,
13-SEP-18,272,326,686,
14-SEP-18,272,327,687,
15-SEP-18,272,328,688,
16-SEP-18,272,329,689,
17-SEP-18,272,330,690,
18-SEP-18,272,331,691,
19-SEP-18,272,332,692,
20-SEP-18,272,333,693,
21-SEP-18,272,334,694,
22-SEP-18,272,335,695,
23-SEP-18,272,336,696,
24-SEP-18,272,337,697,
25-SEP-18,272,338,698,
26-SEP-18,272,339,699,
27-SEP-18,272,340,700,
28-SEP-18,272,341,701,
29-SEP-18,272,342,702,
30-SEP-18,272,343,703,
01-OCT-18,272,344,704,
02-OCT-18,272,345,705,
03-OCT-18,272,346,706,
04-OCT-18,272,347,707,
05-OCT-18,272,348,708,
06-OCT-18,272,349,709,
07-OCT-18,272,350,710,
08-OCT-18,272,351,711,
09-OCT-18,272,352,712,
10-OCT-18,272,353,713,
11-OCT-18,272,354,714,
12-OCT-18,272,355,715,
13-OCT-18,271,356,716,
14-OCT-18,271,357,717,
15-OCT-18,271,358,718,
16-OCT-18,271,359,719,
17-OCT-18,271,360,720,
18-OCT-18,271,361,721,
19-OCT-18,271,362,722,
20-OCT-18,271,363,723,
21-OCT-18,271,364,724,
22-OCT-18,271,365,725,
23-OCT-18,271,366,726,
24-OCT-18,271,367,727,
