customer ID,real event,real date,predicted event,predicted date
11376,pause subscription (failed payment),2023-06-07,pause subscription (failed payment),2023-06-07
2003,pause subscription,2023-06-11,pause subscription,2023-06-07
666,create customer,2023-06-07,create customer,2023-06-07
668,change subscription,2023-06-27,change subscription,2023-06-27
1828,new subscription,2023-06-21,new subscription,2023-06-21
1239,new subscription,2023-06-17,new subscription,2023-06-17
13356,cancel subscription,2023-06-20,cancel subscription,2023-06-20
402,change subscription,2023-06-12,new subscription,2023-06-07
2594,change subscription,2023-06-16,change subscription,2023-06-16
2014,reactivate subscription,2023-06-10,reactivate subscription,2023-06-11
1849,change subscription,2023-06-14,change subscription,2023-06-14
1384,new subscription,2023-06-11,change subscription,2023-06-18
1471,pause subscription,2023-07-04,pause subscription,2023-07-04
360,change subscription,2023-06-10,change subscription,2023-06-08
1550,new subscription,2023-06-07,new subscription,2023-06-11
496,new subscription,2023-06-26,new subscription,2023-06-26
542,new subscription,2023-06-09,new subscription,2023-06-11
10223,change subscription,2023-07-05,cancel subscription,2023-06-20
3704,reactivate subscription,2023-06-12,reactivate subscription,2023-06-08
2362,cancel subscription,2023-07-05,cancel subscription,2023-07-05
11712,pause subscription,2023-06-18,pause subscription,2023-06-18
11376,pause subscription (failed payment),2023-06-07,pause subscription (failed payment),2023-06-07
2871,cancel subscription,2023-06-08,cancel subscription,2023-06-08
666,create customer,2023-06-06,create customer,2023-06-07
10223,change subscription,2023-07-05,new subscription,2023-06-07
801,pause subscription,2023-07-05,pause subscription,2023-07-05
2588,reactivate subscription,2023-06-09,pause subscription (failed payment),2023-06-08
13182,pause subscription,2023-06-17,pause subscription,2023-06-17
10851,reactivate subscription,2023-07-02,reactivate subscription,2023-07-02
11356,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
461,change subscription,2023-06-06,change subscription,2023-06-20
3035,new subscription,2023-06-12,new subscription,2023-06-07
3307,cancel subscription,2023-06-08,cancel subscription,2023-06-09
3084,pause subscription (failed payment),2023-06-08,pause subscription (failed payment),2023-06-08
