Date Time,T (degC), Spec_H (g/kg),Rel_H (5),Prep (mm/hr),Pressure (kPa),WV (10M),WD (10M),WV (50M),WD (50M),AllSky_Irr (Wh/m^2),Clrsky_Irr (Wh/m^2) ,Zenith
01.01.2019 00:00,27.4,19.29,84.38,1.09,100.57,0.9,84.54,1.06,88.3,0,0,N/A
01.01.2019  01:00,27.2,19.23,85.19,1.51,100.51,1.09,107.53,1.3,111.16,0,0,N/A
01.01.2019  02:00,26.96,19.23,86.25,1.88,100.47,1.4,119.15,1.71,122.09,0,0,N/A
01.01.2019  03:00,26.76,19.23,87.38,1.97,100.46,1.8,116.34,2.22,118.55,0,0,N/A
01.01.2019  04:00,26.61,19.35,88.56,1.8,100.48,2.32,110.33,2.94,112.14,0,0,N/A
01.01.2019  05:00,26.57,19.29,88.62,1.3,100.51,2.66,105.67,3.39,107.02,0,0,N/A
01.01.2019  06:00,26.59,19.29,88.38,0.59,100.57,2.8,102.25,3.56,103.58,7.7,9.45,88.59
01.01.2019  07:00,27.25,19.71,87.12,0.21,100.61,2.81,101.72,3.5,102.89,111.54,166.65,77.02
01.01.2019  08:00,28.24,19.65,81.94,0.32,100.64,2.62,102.05,3.03,105.11,316.27,401.73,63.7
01.01.2019  09:00,29.21,19.17,75.56,0.23,100.62,2.1,102.02,2.41,107.38,522.6,613.7,50.99
01.01.2019  10:00,29.89,19.17,72.56,0.15,100.57,1.59,93.66,1.81,102.23,678.41,778.35,39.57
01.01.2019  11:00,29.9,18.62,70.5,0.1,100.51,1.32,81.15,1.46,90.92,780.73,880.33,30.95
01.01.2019  12:00,30.19,18.8,70,0.14,100.43,1.37,64.02,1.48,72.52,773.03,896.9,27.88
01.01.2019  13:00,30.29,18.98,70.12,0.21,100.34,1.54,60.83,1.68,68.45,721.94,851.73,32.01
01.01.2019  14:00,30.44,19.35,70.69,0.41,100.27,1.43,60.64,1.57,69.04,600.28,735.12,41.22
01.01.2019  15:00,30.69,19.41,69.94,0.72,100.26,1.24,61.82,1.36,70.83,432.44,558.1,52.91
01.01.2019  16:00,30.51,19.23,70.19,0.93,100.29,1.08,62.51,1.16,72.3,240.3,343.1,65.75
01.01.2019  17:00,30.05,19.47,72.81,0.99,100.36,0.86,55.01,0.86,60.64,75.02,116.77,79.15
01.01.2019  18:00,29.34,20.26,79.12,0.91,100.45,0.66,15.2,0.64,4.18,5.32,3.45,89.4
01.01.2019  19:00,28.83,20.45,82.12,0.97,100.52,0.68,337.83,0.81,322.03,0,0,N/A
01.01.2019  20:00,28.41,20.57,84.75,0.98,100.59,0.72,314.56,0.97,299.46,0,0,N/A
01.01.2019  21:00,28.07,20.57,86.5,0.95,100.63,0.92,292.88,1.27,284.21,0,0,N/A
01.01.2019  22:00,27.79,20.51,87.81,0.91,100.64,1.24,286.04,1.69,280.95,0,0,N/A
01.01.2019  23:00,27.55,20.45,88.62,0.77,100.62,1.4,285.81,1.83,282.85,0,0,N/A
02.01.2019  00:00,27.37,20.26,88.75,0.62,100.58,1.34,292.54,1.64,291.19,0,0,N/A
02.01.2019  01:00,27.25,20.08,88.5,0.51,100.55,1.1,300.2,1.29,299.05,0,0,N/A
02.01.2019  02:00,27.2,19.9,87.88,0.38,100.55,0.74,305.54,0.84,304.73,0,0,N/A
02.01.2019  03:00,27.19,19.65,87.06,0.3,100.55,0.39,344.85,0.42,344.93,0,0,N/A
02.01.2019  04:00,27.04,19.47,87.06,0.23,100.58,0.72,61.49,0.83,61.99,0,0,N/A
02.01.2019  05:00,26.82,19.41,87.81,0.17,100.64,1.36,68.75,1.59,68.72,0,0,N/A
02.01.2019  06:00,26.7,19.35,88.31,0.15,100.7,1.91,69.11,2.3,68.92,8.22,8.88,88.64
02.01.2019  07:00,27.01,19.71,88.31,0.16,100.75,2.42,66.58,2.98,65.99,82.62,158.7,77.12
02.01.2019  08:00,27.6,19.78,85.62,0.1,100.8,2.88,66.29,3.37,66.47,231.34,389,63.77
02.01.2019  09:00,28.51,19.59,80.38,0.09,100.79,2.95,66.28,3.43,67.64,374.66,599.1,51.05
02.01.2019  10:00,29.09,19.35,76.88,0.13,100.75,2.77,61.12,3.13,63.11,503.36,760.55,39.59
02.01.2019  11:00,29.42,19.35,75.31,0.22,100.7,2.38,53.81,2.63,56.73,614.45,856.6,30.92
02.01.2019  12:00,29.71,19.17,73.31,0.35,100.63,1.89,42.48,2.03,46.56,579.42,885,27.79
02.01.2019  13:00,29.67,19.23,73.69,0.51,100.56,1.72,25.52,1.82,28.43,520.87,841.02,31.88
02.01.2019  14:00,29.48,19.41,75.19,0.61,100.5,1.9,18.96,2.04,20.66,558.3,728.55,41.09
02.01.2019  15:00,29.31,19.71,77.12,0.57,100.49,2.32,25.36,2.56,26.88,407.21,557.85,52.78
02.01.2019  16:00,29.26,20.02,78.56,0.5,100.52,2.84,32.21,3.27,33.5,248.95,343,65.62
02.01.2019  17:00,28.77,20.14,81.25,0.4,100.58,3.19,35.72,3.81,35.91,81.81,119.62,79.02
02.01.2019  18:00,28.13,20.51,86.06,0.3,100.64,3.26,36.02,4.24,34.8,5.6,3.65,89.37
02.01.2019  19:00,27.86,20.45,87.25,0.2,100.7,3.31,38.09,4.31,37.04,0,0,N/A
02.01.2019  20:00,27.73,20.39,87.62,0.14,100.74,3.13,39.73,3.99,38.96,0,0,N/A
02.01.2019  21:00,27.71,20.2,86.81,0.14,100.76,2.78,40.32,3.41,39.52,0,0,N/A
02.01.2019  22:00,27.72,19.9,85.69,0.15,100.76,2.4,41.96,2.84,40.87,0,0,N/A
02.01.2019  23:00,27.57,19.71,85.62,0.16,100.76,2.29,49.29,2.63,49.45,0,0,N/A
03.01.2019  00:00,27.23,19.59,86.75,0.18,100.73,2.35,59.59,2.69,61.2,0,0,N/A
03.01.2019  01:00,26.95,19.47,87.44,0.24,100.69,2.51,67.9,2.91,70.2,0,0,N/A
03.01.2019  02:00,26.65,19.29,88.25,0.29,100.67,2.77,75.14,3.26,78.26,0,0,N/A
03.01.2019  03:00,26.41,19.1,88.62,0.29,100.68,3.04,80.08,3.65,83.36,0,0,N/A
03.01.2019  04:00,26.19,18.86,88.69,0.24,100.71,3.21,83.72,3.96,87.62,0,0,N/A
03.01.2019  05:00,25.99,18.55,88.38,0.14,100.74,3.37,86.81,4.23,90.85,0,0,N/A
03.01.2019  06:00,25.89,18.31,87.88,0.09,100.81,3.39,87.49,4.39,92.04,10.64,8.73,88.68
03.01.2019  07:00,26.51,18.37,85.06,0.06,100.87,3.49,87.05,4.21,89.57,152.26,163.25,77.2
03.01.2019  08:00,27.08,18.37,82.31,0.03,100.94,3.23,81.09,3.61,81.91,387.16,396.67,63.85
03.01.2019  09:00,28.28,18.25,76.06,0.02,100.94,2.99,66.11,3.31,66.46,573.08,609.38,51.1
03.01.2019  10:00,29.34,18.01,70.75,0.01,100.93,2.94,51.91,3.26,54.06,696.02,775.73,39.62
03.01.2019  11:00,29.87,18.19,69.25,0.01,100.89,2.91,43.91,3.23,47.06,818.12,880.38,30.89
03.01.2019  12:00,30.13,18.43,69.12,0.01,100.83,2.87,35.25,3.17,38.79,799.16,909.98,27.7
03.01.2019  13:00,30.23,18.62,69.44,0.01,100.74,2.86,24.68,3.12,28.23,753.92,866.45,31.74
03.01.2019  14:00,30.13,18.86,70.44,0.02,100.68,2.9,14.48,3.15,17.31,657.52,752.23,40.95
03.01.2019  15:00,29.86,19.04,72.25,0.03,100.65,3.04,6.19,3.32,7.71,463.58,577.35,52.64
03.01.2019  16:00,29.45,19.41,75.38,0.05,100.68,3.1,1.44,3.49,1.03,257.17,358.27,65.49
03.01.2019  17:00,28.91,19.65,78.75,0.08,100.75,3.13,1.43,3.69,0.12,86.88,128.02,78.91
03.01.2019  18:00,28.15,20.02,84.06,0.11,100.83,3.03,4.74,3.87,1.04,6.2,4,89.33
