Activo - Corriente,Pasivo - Corriente,Activo - Todo,Pasivo - Todo,Patrimonio,Resultado,ROA,ROE,APL,Endeudamiento,Razon Corriente,XOF_t_i,Annual Sales,Equity / Sales,Net Margin,predictions,end_node
116913.84,13871.97,128310.31999999999,138871.97,-10561.650000000009,-34679.479999999996,-0.2702781818329188,3.28352861532052,-13.148700250434343,1.0823133322401504,8.428063209479259,1,150879.27,-0.070000670072171,-0.2298492032735842,0,8
111462.15,169223.3,175657.3,169627.49,6029.809999999998,8550.479999999989,0.04867705469684431,1.4180347307792438,28.13148175481484,0.9656728755366273,0.6586690485293691,1,155518.28727272726,0.03877235343664581,0.05498054376721173,0,11
1665382.01,1834289.92,2236700.0,1986976.01,249723.99,288856.72499999986,0.12914415209907446,1.1567039474261158,7.956688542418372,0.8883515938659633,0.907916459574722,0,2560843.31,0.09751630996900001,0.112797500679571,0,10
62068.02,34606.31,62068.02,35223.34,26844.68,17188.950000000004,0.2769373020115674,0.6403112274014816,1.3121162181855026,0.5674957892969681,1.7935463214656517,0,152142.51,0.17644430869452593,0.11297927186819781,0,8
503341.49,825196.11,1479427.01,1239454.1,239972.90999999992,136246.1672727272,0.09209387577203096,0.5677564491455609,5.164975079895479,0.8377933427077285,0.6099659025295211,1,1993808.316,0.1203590676567325,0.06833463687525677,0,10
100719.03,101213.41,158868.84,113820.89,45047.95,19534.620000000054,0.12296067624085412,0.4336405985178028,2.526660813644128,0.7164456541635226,0.9951154693829601,0,459882.18999999994,0.09795541332009401,0.04247744406018432,0,9
163584.94,111291.94,219594.0,122001.25,97592.75,92209.15199999996,0.41990742916473106,0.9448360866970135,1.250105668710022,0.5555764274069419,1.469872301623999,0,781558.656,0.12486938664268342,0.11798110262372932,0,9
12918.94,7866.92,12918.94,7866.92,5052.02,12094.0,0.9361449159141539,2.3938939275774835,1.5571830673671125,0.6089446967011225,1.6421852516613873,0,170364.0,0.02965426968138809,0.07098917611702003,0,8
831846.18,838364.17,2852322.12,1760607.37,1091714.75,359288.48571428575,0.12596350292802333,0.3291047278735455,1.6126990773001832,0.6172540463276988,0.9922253476075916,1,1765226.8457142855,0.6184557824114928,0.203536721972355,0,10
404263.65,254695.19,582255.66,535918.71,46336.95000000007,29586.510000000126,0.05081360651779688,0.6385079294170221,11.56568807398845,0.9204182059818876,1.5872449338364027,0,5188160.88,0.008931286263428298,0.005702697099092295,0,11
842630.46,435803.14,952031.87,645479.79,306552.07999999996,93219.75000000007,0.0979166275179423,0.3040910699415254,2.10561216873818,0.6780022920871336,1.9335116768548293,0,1674703.0900000003,0.18304861430690972,0.05566344897590179,0,10
909568.71,591181.31,1080658.7,959091.52,121567.17999999993,37260.909999999916,0.0344798130991773,0.30650468325414754,7.8893951476048105,0.88750640697197,1.538561342543119,0,1686707.1800000002,0.07207367196954716,0.02209091799798938,0,10
650211.43,444473.71,1131428.26,608715.06,522713.19999999995,172647.68999999992,0.1525926973045555,0.3302914294110038,1.164529726817689,0.5380058829359627,1.462879390549331,0,1343848.78,0.3889672765115729,0.12847255775311262,0,10
15413852.7,14265451.5,23922856.63,17495714.66,6427141.969999999,124774.49000000022,0.005215701951059188,0.019413681941741867,2.7221609140835588,0.7313388585065479,1.0805022680144403,1,16140215.5,0.3982067011434884,0.0077306582430699405,0,7
14705476.03,12754368.49,18402297.02,17353774.52,1048522.5,-938711.81,-0.05101057813488113,-0.8952710218426405,16.550693494894006,0.943022194519497,1.1529756288231563,0,15347086.75,0.06832062117587236,-0.061165472333047186,0,11
860336.8099999999,320009.67000000004,1756574.43,1019742.67,736831.7599999999,209648.4800000002,0.1193507524756581,0.2845269319009814,1.3839559114552829,0.5805291552604464,2.688471289008235,1,2695153.45,0.273391394467725,0.07778721467603271,0,10
2513292.68,2194197.88,3812450.17,3445185.63,367264.54000000004,126675.48000000045,0.03322678968942444,0.344916174047188,9.38066503779537,0.9036670582897087,1.1454266285226746,1,6545548.08,0.05610905847933211,0.019352921780081165,0,11
83541.34,59450.44,83541.34,59450.44,24090.899999999994,12073.51000000001,0.14452138306615633,0.5011647551565119,2.4677550444358665,0.7116289970929364,1.405226605555821,0,731370.3,0.032939401558964035,0.016508067117300237,0,9
128742.0,106851.0,128742.0,106851.0,21891.0,12460.0,0.0967827127122462,0.569183682792015,4.881047005618748,0.8299622500815584,1.2048740769857091,1,417677.0,0.05241131304812092,0.02983166418069465,0,9
163324.99,32665.42,209141.33,37665.38,171475.94999999998,53663.149999999994,0.2565879733097231,0.31294855051101916,0.21965400978971103,0.18009534509510866,4.999935405698136,0,268450.11,0.638762822633971,0.19989989946362843,0,8
143325.0,57143.0,181045.0,161704.0,19341.0,6962.0,0.03845452787980889,0.3599607052375782,8.360684556124296,0.8931702063023005,2.5081812295469263,0,371178.0,0.05210707531157558,0.018756499577022346,0,9
133266.96,46617.84,166598.59999999998,136289.39,30309.209999999963,16879.679999999993,0.10131945886700125,0.5569158681470092,4.4966328716584885,0.818070439967683,2.8587116005374766,1,452216.27,0.06702370527270052,0.03732656500837529,0,8
2938734.03,2989845.83,3422434.73,3100495.2,321939.5299999998,99679.72999999998,0.02912538524876411,0.30962252445358307,9.630675673782596,0.9059326019637488,0.9829048710514949,0,7110569.529999999,0.045276194634158905,0.014018529680280053,0,11
5407340.94,4144125.7,7430503.140000001,6276615.15,1153887.9900000002,303828.4900000001,0.04088935624889596,0.2633084776278849,5.439535903307217,0.8447093059165304,1.304820686303024,0,5053682.96,0.2283261532496293,0.06012021181479103,0,10
7474690.4,5770740.33,7694715.04,6801192.07,893522.9699999997,70252.18000000063,0.009129926142138284,0.07862380974940203,7.611658903407936,0.8838783547727065,1.2952740848763853,0,10280534.388,0.08691405877139698,0.0068335144213906625,0,10
410055.0,284768.0,497288.0,341605.0,155683.0,41087.0,0.08262214250092502,0.26391449291187863,2.1942344379283543,0.6869359405414971,1.4399616529947186,0,761492.0,0.20444469541374038,0.053955918118640776,0,9
320434.37,241708.65,325257.58,241708.65,83548.93000000002,82748.93,0.2544104583204486,0.9904247726452029,2.8930190967137452,0.7431299525748177,1.325705017176671,0,447880.29999999993,0.18654298927637594,0.18475679774261114,0,9
85865.0,370931.0,548729.0,370931.0,177798.0,54907.0,0.1000621436082292,0.30881674709501794,2.0862495641120824,0.6759821332570358,0.23148510100261235,0,505474.0,0.3517450947031895,0.108624775952868,0,9
124742.58,116636.88,688775.12,458458.11,230317.01,79214.17000000004,0.11500730456117526,0.3439353871431382,1.9905525432099,0.6656136330824493,1.069495171681547,1,711716.56,0.3236077716106535,0.11130016421143837,0,10
508989.14,826956.53,2354586.22,1768506.08,586080.1400000001,240389.56999999913,0.10209418876153922,0.41016501599934624,3.0175157957067094,0.7510899643335209,0.615496850844143,0,6077164.1,0.09643974234626973,0.039556208462430555,0,10
25503.0,19637.0,25503.0,19637.0,5866.0,6634.0,0.2601262596557268,1.1309239686327992,3.347596317763382,0.7699878445673058,1.2987218006823853,0,167409.0,0.03503993214223847,0.03962749911892431,0,8
19433390.0,19093964.0,40321856.0,30306678.0,10015178.0,22909.0,0.0005681534103985689,0.00228742814156673,3.0260748236326904,0.7516191218975634,1.0177766125462475,0,29367452.0,0.34102985849776823,0.0007800812954423149,0,7
45666.37,46279.28,45666.37,46279.28,-612.9099999999962,-3508.999999999998,-0.0768399152374055,5.725147248372551,-75.5074643911835,1.0134214740519116,0.9867562762428457,0,24057.54,-0.02547683595247046,-0.1458586372505251,0,8
1458318.23,447677.32,1464804.63,1220935.91,243868.72,286305.51,0.1954564480042639,1.1740148962113715,5.006529373672851,0.8335145076650938,3.257520908139818,1,404590.1699999999,0.6027549309959757,0.7076432677541327,0,10
587580.0,448478.0,631197.0,480842.0,150355.26,123121.0,0.19505954559353103,0.818867261444661,3.198039097534732,0.7617938615044114,1.3101646011621528,0,798906.0,0.18820144046984252,0.15411199815748036,0,10
131339.27,45887.0,201685.59,71724.0,129962.0,47226.666666666664,0.23415984586041405,0.3633882724693885,0.5518843969775781,0.35562282858185357,2.862232658487153,1,349593.3333333333,0.37175194034973974,0.13509029539083506,0,8
18382.8,6482.0,18382.8,6482.0,11900.0,11538.0,0.6276519355049286,0.9695798319327731,0.5447058823529412,0.3526122244707009,2.8359765504473926,1,228455.0,0.05208903285110853,0.05050447571731851,0,8
3338772.0,4103829.0,9645330.0,7551633.0,2093697.0,373254.0,0.03869789836117582,0.1782750799184409,3.606841391089542,0.7829315326691777,0.8135748346239573,0,10391229.600000001,0.20148693471271192,0.03592009938843041,0,10
15797740.0,9574792.0,40772270.0,18027517.0,22744753.0,320962.0,0.00787206598994856,0.014111474413461425,0.7926011331052925,0.44215141810843495,1.6499303588004837,1,21307673.0,1.0674442488393734,0.01506321220529337,0,7
5423926.0,3386728.0,5461147.0,4344484.0,1116663.09,383278.0,0.07018269239044472,0.34323512922774224,3.8905951480853544,0.7955259215692234,1.6015239487788804,1,5083466.0,0.21966569462646157,0.0753969830820153,0,10
486638.0,237400.0,498178.0,401579.0,96599.74,39493.0,0.07927487765417181,0.40883132811744627,4.157143694175574,0.8060954116801625,2.049865206402696,1,1105015.0,0.08741939249693444,0.035739786337742024,0,10
39536471.0,33543980.0,50856796.0,39796989.0,11059807.0,607060.0,0.01193665444437357,0.0548888420928141,3.598343895151154,0.7825304016399303,1.178645795758285,0,37083817.0,0.2982380966878356,0.01636994379516003,0,7
20049.0,6017.0,20049.0,6017.0,14032.26,13875.0,0.6920544665569355,0.988792967063039,0.42879764200492293,0.3001147189386004,3.332059165697191,0,73990.66666666666,0.18964905483574507,0.18752365163173737,0,8
2467768.0,1904841.0,2934665.0,2688295.0,246370.0,603091.0,0.20550590953311537,2.447907618622397,10.911616674108048,0.916048339418639,1.2955244033491509,0,4508391.0,0.054646990467330805,0.1337707842997646,0,11
428159.0,350289.0,689596.15,408817.0,280780.0,79927.0,0.115904069360016,0.2846605883609944,1.4560047011895434,0.592835386334451,1.2223021562195786,0,1814476.0,0.1547444000361537,0.044049631959860586,0,10
506103.24,384867.0,576619.1,426537.0,150082.0,119989.0,0.20809057486996183,0.7994896123452513,2.842026358923788,0.7397205538283418,1.315008145671102,0,862915.0,0.17392443056384466,0.13905077556885673,0,10
263552.0,128720.0,300947.0,189741.0,111205.94,66174.0,0.21988589352942545,0.5950581416784031,1.706212815610389,0.6304797854771771,2.0474829086389064,0,409775.0,0.27138292965651883,0.1614886218046489,0,9
41423.21,46694.0,108560.54,93856.0,14704.0,4755.0,0.04380044535519076,0.32338139281828077,6.383025027203482,0.8645498631454855,0.8871206150683171,0,235852.0,0.062344181944609334,0.020160948391364075,0,9
174740.0,326078.0,368287.0,326078.0,42209.21,14412.0,0.039132524362793145,0.34144206915978764,7.725280809567391,0.8853910129871541,0.5358840522819693,0,346134.0,0.12194470927444284,0.041637053857754514,0,9
85086.0,51655.0,123869.0,51748.0,72120.75,20820.0,0.16808079503346277,0.2886825220203617,0.717518883261752,0.4177639280207316,1.6471977543316232,0,637404.0,0.11314762693676224,0.032663742304723534,0,9
502802.0,106438.0,698402.0,333757.0,364645.16,273318.0,0.39134767655304536,0.749545119425142,0.9152925545480983,0.47788666126385665,4.723895601195062,0,5380410.0,0.06777274594315302,0.050798730951730445,0,9
110285.0,55747.0,178343.0,95794.0,82548.58,22482.0,0.12606045653600084,0.27234871877868766,1.1604560611460548,0.5371335011747027,1.9783127343175417,0,265458.0,0.3109666312561686,0.08469136360554212,0,9
1794941.0,2507053.0,4336929.0,4020488.0,316440.65,631634.0,0.1456408440165841,1.9960583445900517,12.705346168388921,0.9270356973794129,0.7159565433997606,1,5375690.0,0.05886512243079493,0.11749821883330326,0,11
31063.0,10114.0,35038.0,10114.0,24923.43,32164.0,0.9179747702494435,1.2905125819359535,0.4058028931009897,0.28865802842628,3.071287324500692,1,101541.33333333333,0.24545108067650614,0.31675770786280794,0,8
144838.0,48280.0,147493.0,107973.0,39520.62,23546.0,0.15964147451065475,0.5957902482299113,2.7320674625043835,0.7320550805800953,2.9999585749792876,1,221102.0,0.178743837685774,0.10649383542437427,0,9
273363.0,89541.0,303988.0,188653.0,115335.0,109548.0,0.3603694882692738,0.9498244245025361,1.6356960159535268,0.620593576062213,3.0529366435487653,0,448927.19999999995,0.25691247935077227,0.24402174784686695,0,9
857928.0,417821.0,1041815.0,797188.0,244626.76,131981.0,0.12668372023823807,0.5395198791824737,3.25879310996066,0.7651915167280179,2.0533386306576262,0,1701175.0,0.14379870383705382,0.07758225932076358,0,10
