Job_Number,Jobs_Gross_Margin_Percentage,Jobs_Gross_Margin,Labor_Pay,Labor_Burden,Material_Costs,PO_Costs,Labor,Equipment_Costs,Jobs_Total,Materials__Equip__POs_As_percent_of_Sales,Labor_Burden_as_percent_of_Sales,Labor_Pay_as_percent_of_Sales,Sold_Hours,Total_Hours_Worked,Total_Technician_Paid_Time,NonBillable_Hours,Jobs_Total_Costs,Is_Lead,Opportunity,Warranty,Recall,Converted,Jobs_Subtotal,Pricebook_Price,Income,Estimates,Jobs_Estimate_Sales_Subtotal,Jobs_Estimate_Sales_Installed,Materials__Equipment__PO_Costs,Lead Generated From Source
19-0140953,0,-952.71,132.9,61.57,379.12,379.12,0,0,0,0,0,0,0,6.1,6.1,3.18,952.71,0,1,0,0,0,0,0,0,0,0,0,758.24,Marketed Lead
20-0160780,-0.0505,-4.01,0,22.25,30.63,30.63,79.5,0,79.5,0,0,0,0,1.05,1.05,0,83.51,0,1,0,0,1,79.5,0,79.5,0,0,0,61.26,Marketed Lead
20-0161046,0.7059,254.13,91,14.87,0,0,360,0,360,0,0,0,0.5,2.13,2.33,1.63,105.87,0,1,0,0,1,360,285,360,0,0,0,0,Marketed Lead
21-0164016,0.5254,151.83,0,133.23,3.94,0,289,0,289,0,0,0,0,2.33,2.33,0,137.17,0,1,0,0,1,289,287.88,289,0,0,0,3.94,Marketed Lead
21-0164066,-0.6561,-32.15,0,81.15,0,0,49,0,49,0,0,0,0,1.42,1.9,0,81.15,0,1,0,0,0,49,0,49,0,0,0,0,Marketed Lead
21-0164210,0.7706,222.7,0,66.3,0,0,289,0,289,0,0,0,0,1.16,1.73,0,66.3,0,1,0,0,1,289,287.88,289,0,0,0,0,Marketed Lead
21-0164006,0.9043,2158.6,0,164.11,64.29,0,2387,0,2387,0,0,0,0,2.88,5.05,0,228.4,0,1,0,0,1,2387,878.23,2387,0,0,0,64.29,Marketed Lead
21-0164151,0.5356,85.7,0,74.3,0,0,160,0,160,0,0,0,0,1.3,1.6,0,74.3,0,1,0,0,1,160,0,160,0,0,0,0,Marketed Lead
21-0164311,0.7206,371.09,0,143.91,0,0,515,0,515,0,0,0,0,2.52,3.13,0,143.91,0,1,0,0,1,515,361.77,515,0,0,0,0,Marketed Lead
21-0164386,0.7806,225.59,0,63.41,0,0,289,0,289,0,0,0,0,1.11,1.67,0,63.41,0,1,0,0,1,289,287.88,289,0,0,0,0,Marketed Lead
