id,date,siteid,name,actual_description,state,arrivals,departures
1,21/06/2014,2,AITA,Adelaide ITA,21,1,0
2,21/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
3,21/06/2014,3,BITA,Brisbane ITA,61,3,2
4,21/06/2014,15,BAPOD,Bladin APOD,286,0,0
5,21/06/2014,16,CC,Construction Camp APOD,295,0,3
6,21/06/2014,6,CIDC,Curtin IDC,169,0,0
7,21/06/2014,19,CIIDC,CI - North West Point,729,0,19
8,21/06/2014,11,IAPOD,Inverbrackie APOD,253,0,0
9,21/06/2014,10,MIDC,Maribyrnong IDC,106,3,5
10,21/06/2014,9,MITA,Melbourne ITA,220,1,0
11,21/06/2014,17,PH,Phosphate Hill APOD,77,0,0
12,21/06/2014,7,PIDC,Perth IDC,52,2,2
13,21/06/2014,8,PIRH,Perth IRH,16,0,0
14,21/06/2014,5,SIRH,Sydney IRH,36,0,0
15,21/06/2014,4,VIDC,Villawood IDC,273,1,2
16,21/06/2014,14,WPIDF,Wickham Point APOD,650,4,0
17,21/06/2014,13,YHIDC,Yongah Hill IDC,402,1,0
18,22/06/2014,2,AITA,Adelaide ITA,22,1,0
19,22/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
20,22/06/2014,3,BITA,Brisbane ITA,57,0,4
21,22/06/2014,15,BAPOD,Bladin APOD,286,0,0
22,22/06/2014,16,CC,Construction Camp APOD,295,0,0
23,22/06/2014,6,CIDC,Curtin IDC,169,0,0
24,22/06/2014,19,CIIDC,CI - North West Point,729,0,0
25,22/06/2014,11,IAPOD,Inverbrackie APOD,253,0,0
26,22/06/2014,10,MIDC,Maribyrnong IDC,106,3,3
27,22/06/2014,9,MITA,Melbourne ITA,220,0,0
28,22/06/2014,17,PH,Phosphate Hill APOD,77,0,0
29,22/06/2014,7,PIDC,Perth IDC,56,6,2
30,22/06/2014,8,PIRH,Perth IRH,16,0,0
31,22/06/2014,5,SIRH,Sydney IRH,36,0,0
32,22/06/2014,4,VIDC,Villawood IDC,276,5,2
33,22/06/2014,14,WPIDF,Wickham Point APOD,644,0,6
34,22/06/2014,13,YHIDC,Yongah Hill IDC,403,1,0
35,23/06/2014,2,AITA,Adelaide ITA,20,0,2
36,23/06/2014,18,AQUA LILAC,Aqua Lilac APOD,0,0,0
37,23/06/2014,3,BITA,Brisbane ITA,58,1,0
38,23/06/2014,15,BAPOD,Bladin APOD,286,0,0
39,23/06/2014,16,CC,Construction Camp APOD,295,0,0
40,23/06/2014,6,CIDC,Curtin IDC,169,0,0
41,23/06/2014,19,CIIDC,CI - North West Point,729,0,0
42,23/06/2014,11,IAPOD,Inverbrackie APOD,253,0,0
43,23/06/2014,10,MIDC,Maribyrnong IDC,102,4,8
44,23/06/2014,9,MITA,Melbourne ITA,220,0,0
